"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","913","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Sat May 23 07:44:03 UTC 2026","passed","Sat May 23 07:44:04 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","474","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Sat May 23 07:44:07 UTC 2026","passed","Sat May 23 07:44:08 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","458","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Sat May 23 07:44:05 UTC 2026","passed","Sat May 23 07:44:06 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","933","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Sat May 23 07:44:01 UTC 2026","passed","Sat May 23 07:44:02 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","330","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Sat May 23 07:43:58 UTC 2026","passed","Sat May 23 07:43:58 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","324","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Sat May 23 07:43:56 UTC 2026","passed","Sat May 23 07:43:57 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","352","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Sat May 23 07:43:55 UTC 2026","passed","Sat May 23 07:43:56 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","1842","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Sat May 23 07:43:59 UTC 2026","passed","Sat May 23 07:44:01 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","481","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Sat May 23 07:44:06 UTC 2026","passed","Sat May 23 07:44:07 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","587","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Sat May 23 07:43:54 UTC 2026","passed","Sat May 23 07:43:55 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","317","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Sat May 23 07:43:57 UTC 2026","passed","Sat May 23 07:43:57 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","534","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Sat May 23 07:44:04 UTC 2026","passed","Sat May 23 07:44:05 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
